timestamp,x,y,column,robot_x,robot_y
1.7302203564947983e+18,9.67,-1.36,5,2.6302842192983253,-0.7532344976193748
1.7302203565947336e+18,9.64,-1.36,5,2.630495614626834,-0.753245548678983
1.7302203566946806e+18,9.61,-1.36,5,2.6306760971431653,-0.7532550621811243
1.7302203567946944e+18,9.58,-1.36,5,2.6308175246690766,-0.753262444904331
1.7302203568946834e+18,9.55,-1.36,5,2.630895053973033,-0.7532663477300813
1.7302203569946824e+18,9.52,-1.36,5,2.6309446778331504,-0.7532687141759479
1.7302203570946284e+18,9.49,-1.36,5,2.6317119682568557,-0.7533116290259301
1.7302203571946263e+18,9.46,-1.35,5,2.63767024547246,-0.7536738723563962
1.7302203572947446e+18,9.43,-1.35,5,2.6604965690647644,-0.7551374912209642
1.7302203573946555e+18,9.4,-1.35,5,2.726214408874026,-0.7599015497248851
1.7302203574947195e+18,9.29,-1.34,5,2.826676873728347,-0.7758552936665163
1.7302203575946575e+18,9.18,-1.33,5,2.926569595308218,-0.7848843323444018
1.7302203576946865e+18,9.06,-1.32,5,3.037083343762419,-0.7970165376645841
1.7302203577946314e+18,8.95,-1.31,5,3.146832978818216,-0.8087559161484734
1.7302203578946545e+18,8.83,-1.3,5,3.2465323025489954,-0.8202000719549088
1.7302203579945444e+18,8.72,-1.29,5,3.3565620371107934,-0.8347280833807859
1.7302203580945674e+18,8.61,-1.28,5,3.444770911643432,-0.8463815991831565
1.7302203581945592e+18,8.49,-1.27,5,3.5526081823503053,-0.8680321897081582
1.7302203582945326e+18,8.38,-1.25,5,3.650793953777802,-0.8816177238074607
1.7302203583946872e+18,8.27,-1.24,5,3.758464405922656,-0.8914031139440421
1.7302203584946542e+18,8.16,-1.23,5,3.8577169434440792,-0.9008621288262731
1.7302203585946834e+18,8.05,-1.22,5,3.9755530982038456,-0.91433093294288
1.730220358694691e+18,7.94,-1.2,5,4.088077028697411,-0.917862294854536
1.7302203587946982e+18,7.83,-1.19,5,4.18160486273659,-0.9259764600133844
1.730220358894584e+18,7.72,-1.18,5,4.286902739972861,-0.9342720693557066
1.7302203589946404e+18,7.61,-1.16,5,4.386595570053657,-0.9434108530858536
1.7302203590946053e+18,7.5,-1.15,5,4.488520642674575,-0.9545862018184804
1.7302203591947052e+18,7.39,-1.14,5,4.587837120916012,-0.9625619161715292
1.7302203592946552e+18,7.28,-1.12,5,4.695363197670137,-0.9673733031744356
1.7302203593947484e+18,7.17,-1.11,5,4.789852470923665,-0.972482967467726
1.7302203594947364e+18,7.09,-1.05,5,4.896181389229396,-0.9845672530097508
1.7302203595947494e+18,7.01,-0.99,5,4.996357280958897,-0.9905379300024648
1.7302203596946906e+18,6.94,-0.93,5,5.100071916717009,-1.000050369203992
1.7302203597947236e+18,6.86,-0.87,5,5.204724829489413,-1.0076515964258568
1.7302203598946524e+18,6.78,-0.81,5,5.30722954638747,-1.0160083224018943
1.7302203599947315e+18,6.71,-0.75,5,5.397047297711923,-1.0250038827836216
1.7302203600946435e+18,6.63,-0.69,5,5.496521533318246,-1.0333997687908618
1.7302203601948495e+18,6.55,-0.63,5,5.597174476876893,-1.0458046935834375
1.7302203602946985e+18,6.48,-0.58,5,5.696753217868656,-1.0554698044809454
1.7302203603947246e+18,6.4,-0.52,5,5.794593514580389,-1.0671050341617994
1.7302203604947487e+18,6.28,-0.51,5,5.893909310994146,-1.0779703998495591
1.7302203605946614e+18,6.17,-0.5,5,5.994677727292465,-1.0939499956120733
1.7302203606946906e+18,6.06,-0.5,5,6.09389897652828,-1.1052217913048636
1.7302203607946934e+18,5.94,-0.49,5,6.20476403446696,-1.1178963402447764
1.7302203608947994e+18,5.83,-0.49,5,6.299686055104905,-1.1252447378320587
1.7302203609946803e+18,5.71,-0.48,5,6.399260186023142,-1.1339807363388603
1.7302203610946824e+18,5.6,-0.47,5,6.497344485536698,-1.1465951631336917
1.7302203611946906e+18,5.48,-0.47,5,6.589712009304147,-1.155209347735817
1.7302203612947305e+18,5.37,-0.46,5,6.685689227928157,-1.1691190286356463
1.7302203613946565e+18,5.25,-0.45,5,6.785473217315689,-1.1791610343961263
1.7302203614947036e+18,5.13,-0.48,5,6.884278183791735,-1.195225602015315
1.7302203615946796e+18,5.0,-0.51,5,6.971183392081913,-1.2033392208799707
1.7302203616948534e+18,4.88,-0.54,5,7.072938293630917,-1.219911864681404
1.7302203617947901e+18,4.75,-0.56,5,7.172730265536711,-1.2284991245311967
1.7302203618947543e+18,4.62,-0.59,5,7.267811389656034,-1.240222788173288
1.7302203619949105e+18,4.5,-0.62,5,7.367726915996772,-1.248578304750285
1.7302203620948406e+18,4.37,-0.65,5,7.461516201241167,-1.2562517104283852
1.7302203621947464e+18,4.25,-0.67,5,7.561443235706223,-1.262719632856411
1.7302203622948462e+18,4.12,-0.7,5,7.655036297131361,-1.271766045768537
1.7302203623947574e+18,4.0,-0.73,5,7.754634607374342,-1.2786395031954838
1.7302203624947264e+18,3.87,-0.73,5,7.846821752909234,-1.2880317215215005
1.7302203625948475e+18,3.75,-0.74,5,7.946871522964385,-1.2953440422085634
1.7302203626947694e+18,3.63,-0.75,5,8.046955150554222,-1.3035794841082011
1.7302203627947364e+18,3.51,-0.75,5,8.146877052074393,-1.310758705924661
1.7302203628946752e+18,3.39,-0.76,5,8.24529122073965,-1.3215805383461117
1.7302203629947602e+18,3.27,-0.77,5,8.357173370600561,-1.330134009808604
1.7302203630946414e+18,3.15,-0.77,5,8.453121761055227,-1.3399996758687305
